Name,Affiliation,Motive,Method,Result
--,--,--,--,--
Alien Abductors,Alien,Knowledge,Subterfuge,Abduction
Arctic Worm,Alien,Survival,Possession,Insanity
Brother Martin,Alien,Knowledge,Violence,Death
Alien Conservationist,Alien,Ideology,Subterfuge,Abduction
Dod Kalm,Alien,Control,Manipulation,Physiological
The Gregors,Alien,Security,Manipulation,Manipulation
Alien Listeners,Alien,Ideology,Subterfuge,Manipulation
Alien Experiments,Alien,Survival,Possession,Death
,,,,
John Barnett,Government,Control,Violence,Death
Reverse Engineers,Government,Security,Threats,Insanity
Col. Colin Henderson,Government,Security,Subterfuge,Manipulation
Ed Funsch,Government,Control,Possession,Insanity
Duane Barry,Government,Survival,Violence,Abduction
Faciphaga Emasulata,Government,Knowledge,Manipulation,Physiological
Cigarette Smoking Man,Government,Ideology,Threats,Manipulation
Alien D.N.A. Steroid Prog.,Government,Knowledge,Subterfuge,Physiological
,,,,
Eugene Victor Tooms,Evolutionary,Survival,Subterfuge,Death
Central Operating Sys./AI,Evolutionary,Security,Violence,Manipulation
Eve,Evolutionary,Knowledge,Violence,Abduction
Arthur Grable,Evolutionary,Knowledge,Possession,Death
The Host,Evolutionary,Survival,Violence,Physiological
Augustus Cole,Evolutionary,Control,Manipulation,Death
Dr. Banton,Evolutionary,Ideology,Threats,Manipulation
Leonard,Evolutionary,Control,Violence,Death
Cecil Lâ€™Ively,Evolutionary,Control,Threats,Death
,,,,
B.J. Morrow,Primordial,Control,Possession,Insanity
Jersey Devil,Primordial,Security,Violence,Death
The Swarm,Primordial,Survival,Violence,Abduction
Volcanic Spore,Primordial,Survival,Manipulation,Physiological
Lucas Henry,Primordial,Control,Violence,Abduction
Leonard Vance,Primordial,Knowledge,Manipulation,Physiological
Donny Pfaster,Primordial,Ideology,Subterfuge,Death
Sheriff Tom Arens,Primordial,Ideology,Subterfuge,Insanity
,,,,
Warren James Dupre,Occult,Survival,Possession,Abduction
The Manitou,Occult,Control,Violence,Death
The Vampire,Occult,Survival,Subterfuge,Death
Ancestor Spirits,Occult,Ideology,Threats,Physiological
Mrs. Paddock,Occult,Ideology,Threats,Death
Colonel Wharton,Occult,Knowledge,Subterfuge,Insanity
Michael Holvey,Occult,Ideology,Possession,Physiological
The Poltergeist,Occult,Security,Threats,Manipulation
